rounds,expected_value,standard_error,ci_low,ci_high,ci_width
1000,0.0075,0.03145923446992049,-0.05416009956104415,0.06916009956104416,0.1233201991220883
5000,-0.0245,0.01398746152151859,-0.051915424582176434,0.0029154245821764353,0.054830849164352866
10000,-0.02715,0.00988299322601764,-0.046520666722994576,-0.007779333277005425,0.03874133344598915
50000,-0.02062,0.004418606883819365,-0.029280469492285955,-0.011959530507714044,0.01732093898457191
